HexData,Category
4D5A90000300000004000000,exe
89504E470D0A1A0A0000000D,PNG
FFD8FFE000104A4649460001,JPG
255044462D312E350D0A25E2,PDF
504B0304140000000800B7AC,ZIP
424D3E000000000000003E00,BMP
7F454C460101010000000000,ELF
47494638396126002600F7,GIF
000001BA2100010001801194,MPEG
526172211A0700CF9073,RAR
49492A0008000000E8030000,TIF
0000000C6A5020200D0A870A,JPEG2000
1F8B0800000000000003,GZIP
435753050000000000000000,SWF
3C21444F435459504520,HTML
4D546864000000060001,MIDI
3026B2758E66CF11A6D900AA,WMV
4F6767530002000000000000,OGG
524946464645524D00000000,WAV
D0CF11E0A1B11AE100000000,DOC
000001B0,MP4
7F454C460101010000000000,ELF
FFD8FFE000104A4649460001,JPG
504B0304140000000800B7AC,ZIP
255044462D312E350D0A25E2,PDF
89504E470D0A1A0A0000000D,PNG
424D3E000000000000003E00,BMP
0000000000000000000000,UNKNOWN
89504E470D0A1A0A0000000D,PNG
504B0304140000000800B7AC,ZIP
FFD8FFE000104A4649460001,JPG
0000000C6A5020200D0A870A,JPEG2000
4D5A90000300000004000000,exe
E11AB1A10000000000000000,DOCX
4D5A90000300000004000000,exe
FFD8FFE000104A4649460001,JPG
47494638396126002600F7,GIF
000001B0210001001801194,MPEG
52545350020000000000,RAR
52494646A56B61F400000000,WAV
